7013,366
8304,426
3407,1245
4503,1383
6113,1273
8267,1666
7202,1430
8001,1722
4208,298
9202,380
6472,518
9613,1209
6103,1060
9532,444
3861,560
1802,1320
6703,1684
6952,1787
1812,955
9107,277
7012,352
9503,1483
9008,926”
5406,1269
1605,1080
4902,1003
7186,558
3436,1826
6674,519
5020,496
6473,1604
3086,1569
8355,1003
7762,812
1803,1160
9104,333
5002,1210
9412,494
5232,524
4005,650
5713,1638
6302,804
8053,1479
5802,1769
2768,279
1801,1058
7912,1233
4506,1488
5541,293
5233,407
6976,1833
8601,642
8233,1008
2531,1143
8331,800
9502,1492
6366,670
8795,1636
4061,606
5301,716
3289,664
9531,593
9005,1636
8804,1513
9501,464
9681,1062
6502,239
4042,1280
9001,584
5707,471
5901,1793
3101,211
3402,997
5714,884
4043,523
7911,1182
1963,1784
7201,1107
5413,1344
2002,1832
3105,1121
5202,932
4272,1553
5703,298
1332,647
6471,1437
5631,1841
4041,628
9062,699
6701,297
9101,209
8604,650
6773,217
1808,1382
6752,1508
6501,721
7004,577
7205,1224
8354,520
5803,963
6702,806
6504,614
5715,204
3865,771
8628,897
7261,1661
8252,1501
8002,733
4183,622
5706,477
8031,1604
3099,1083
4188,927
7211,808
7011,455
9301,1395
6503,1705
8306,702
6479,1837
6508,387
4689,500
6841,1857
7752,977
8308,567
